,address,categories,city,country,latitude,longitude,name,postalCode,province,reviews.rating,reviews.text,reviews.title,reviews.username
8592,628 Wall St,"Lodging,Motels,Hotels",Sevierville,US,35.86827,-83.55146,Springhill Suites,37862,TN,0.0,to share your opinion of this businesswith YP visitors across the United Statesand in your neighborhood,,write a review
8593,4430 Highway 12 E,Hotels,Aberdeen,US,45.459026,-98.42784,Stratford Inn,57401,Ordway,0.0,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,,xxxxxxxxxxxxxx
8594,2625 Constitution Dr,Hotels,Livermore,US,37.701428,-121.814181,Comfort Inn Livermore,94551,CA,3.0,Rooms need new carpet. The rooms smelled like dirty feet and body order.,,A Traveler
8654,1435 Simonton St,"Resorts,Hotels",Key West,US,24.54733,-81.79447,Body Tuneup,33040,East Rockland Key,0.0,to share your opinion of this businesswith YP visitors across the United Statesand in your neighborhood,,write a review
8655,1124 Major Ave N W,"Bed Breakfast Near North Valley,Hotels,Lodging,Bed & Breakfast & Inns",Albuquerque,US,35.12073,-106.65298,Adobe Nido Bed & Breakfast,81707,NM,,wonderful little b&b nestled right in the middle of albuquerque. i highly suggest that you come here. the staff is just as friendly as possible and the rooms are very clean. its a home away from home.,,Laura Rehren
8656,N Corso Allamano 153,Hotels,New York,US,45.057607,7.558972,Tulip Inn Turin West,10098,NY,4.0,,,A Traveler
8688,Avda Alcalde Pere Molaskm 2,Hotels,Stone Creek,US,41.08352,1.153677,Hotel Portaventura,43840,OH,4.0,"Port Aventura is the perfect base for theme park fans but here's a warning - the food in the park will turn your stomach as much a ride around the loops of 'Dragon Khan'. From the relatively tranquil settings of the hotel pools you can pop through an exclusive turnstile straight into Meditterania and enjoy all the fun of what has to be the best theme park outside of Florida. The hotel is immaculately kept with the quaint look of a Mediterranean village and offers acres of outdoor space to stretch out and soak up the sun although, like most hotels it fails to provide enough shade and parasols are scarce. The rooms have recently been renovated and there's free Wi-Fi in all areas (as at July 2014). In the neighbouring theme park there's an amazing variety of rides and shows to suit everyone. The main gripe is the lack of decent food in any of the restaurants. With the exception of Rac de Mar near the entrance we experienced cold, bland and overpriced dishes at all of the restaurants in addition to poor service. At The Iron Horse Hotel and the Steak House we could not distinguish between any of the meats served. Most of it tasted like I cooked it - which isn't great! For those staying at the hotel I would suggest you take advantage of the ample breakfast and eat out at nearby Salou for half the price and twice the choice. Its just a few minutes in a taxi to the main promenade.",Stomach Churning Rides & Stomach Turning Food,Paul
8747,1041 Westpoint Ave,"Budget Hotels,Hotels & Motels",Colorado City,US,32.388258,-100.85452,Relax Inn,79512,Cuthbert,,"Editorial Review by Citysearch Editors National chain features reasonably-priced king-sized rooms with microwaves, fridges, irons, cable TV and wireless Internet access.",,Contributor
8748,27 W 72nd St,Hotels,New York,US,,,Hotel Olcott,10023,Nyc,5.0,"I just called to try and book Hotel Olcott as I couldn't find any website or online info and was told this is now condominiums, and not a hotel for short term stays. Disappointing as the location is exactly what I was looking for!",This is no longer a hotel,smass1
8750,110 Vanderbilt Motor Pkwy,Hotels,Hauppauge,US,40.806018,-73.26543,Radisson Hotel Hauppauge-long Island,11788,NY,4.0,"The place was really nice quiet and clean. I would like to go back but  only issue I had was I was charged double on my room because the staff who checked me did not know what they were doing and when I checked out I was charge again, Iam still waiting for my refund which they stated would take 10 business days Never had this issue when getting rooms from Expedia before",Nice hotel,A verified traveler
8752,2008 S Hawthorne Rd,Hotels & Motels,Winston Salem,US,36.07896,-80.29879,Quality Inn & Suites Hanes Mall,27103,Hanes,,"For more than 50 years, this hotel's familiar green sign has signaled budget-friendly lodging for families and business travelers. In ShortSince its 1952 debut in Memphis, Tenn., Holiday Inn has become one of the most recognized hotel brands in the world. Kids rule here: Children age 19 and younger stay for free when sharing a parent's room and as many as four children per family (age 12 or younger) eat for free at hotel restaurants. Other amenities include 24-hour business services, an in-room coffeemaker, iron, hair dryer, room service, a swimming pool and a fitness center.",,Contributor
8773,12630 Robins Roost Rd,"Cabins,Cabins & Chalets,Hotels,Hotels & Motels,Lodging,Cottages,Motels,Campgrounds & Recreational Vehicle Parks,Cottages & Cabins,Cabins Cottages & Chalet Rental",Hill City,US,43.943866,-103.534561,Robins Roost Cabins,57745,Mystic,0.0,to share your opinion of this businesswith YP visitors across the United Statesand in your neighborhood,,write a review
8774,2935 N Germantown Rd,"Hotels,Lodging,Motels,Corporate Lodging",Memphis,US,35.20632,-89.79189,Hampton Inn,38133,Mphs,0.0,to share your opinion of this businesswith YP visitors across the United Statesand in your neighborhood,,write a review
8775,16530 Northcross Dr,Hotels,Huntersville,US,35.44025,-80.87268,Candlewood Suites Huntersville,28078,Hicks Crossroads,5.0,"It was a very comfortable stay, and quiet enough for a good night's sleep. I enjoyed the closeness of restaurants, groceries, and stores. I would stay here again---hopefully some time soon!",Came to visit my grandchildren,M. Barney
8842,10805 Turner Blvd,"Hotels,Hotels & Motels",Longmont,US,40.158007,-104.981704,Super 8 Longmont / Del Camino,80504,Niwot,3.0,o.K.,f��r Kurzurlaun o.K.,Berit und Frank
9009,835 S Chestatee St,"Wedding Sites,Hotels,Hotels & Motels,Meeting Facilities",Dahlonega,US,34.52495,-83.97584,Holiday Inn Express Dahlonega,30533,GA,,Don't make me have to move a bed and unplug a lamp to find an outlet to plug in my phone and laptop.,,Kristi R
9114,506 Stockbridge Rd,"Motels,Corporate Lodging,Hotels,Lodging,Resorts",Great Barrington,US,42.238323,-73.33482,Briarcliff,1230,N Egremont,5.0,"Great find in the Berkshires- located right near Monument Mountain (a beautiful hike) and 15 mins from Tamglewood. Rooms are newly redone, very clean with unique amenities (ex- simple human brand soap dispensers). Hosts are above and beyond- offering great suggestions for hiking, biking, dining etc. There's even a shed to store the bikes. Breakfast was of average quality but... More",Modern Retro: wonderful hosts!,Familytrip55555
9126,15201 E Scatter Rdg,"Cabins & Chalets,Hotels,Lodging,Bed & Breakfast & Inns",Athens,US,39.35401,-81.998825,Lake Hill Cabins,45701,OH,0.0,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,,xxxxxxxxxxxxxx
9127,1776 Grant St,Hotels,Denver,US,39.744501,-104.983568,Warwick Denver,80203,CO,4.0,"My stay was very nice except for noise. There was a lot of noise due to construction outside the hotel (on the hotel) and road construction around the hotel. Also, a room next to mine held a party of some sort one night until about 4 or 5 am and that made it difficult to rest. I was there on business.",,Agata
9198,403 Brock Dr,"Hotels & Motels,Family-Friendly Hotels,Budget Hotels,Lodging,Business Hotels",Bloomington,US,40.481496,-89.02539,Econo Lodge Inn & Suites,61701,Bloomington Heights,,"Editorial Review Nationwide hotel chain is family- and business-friendly. Amenities include communication facilities, large conference rooms, Jacuzzi suites and outdoor pools.",,Contributor
9199,411 Lincoln St,"Hotels,Lodging,Motels",American Falls,US,42.776073,-112.85909,Falls Motel,83211,Heglar,1.0,large gaps under front door. bathroom window was cracked with a wide gap. hot water for shower was hit and miss. i mean when you are taking a shower it was constantly going burning hot one second then freezing cold the next. heater for the room was of limited use with large gaps under the front door.,dont stay here if you can help it.,danger-dan73
